time,closing
2012-11-06,517.53
2012-11-07,518.45
2012-11-08,519.04
2012-11-09,519.9
2012-11-12,521.43
2012-11-13,513.8
2012-11-14,503.24
2012-11-15,493.84
2012-11-16,482.99
2012-11-19,493.14
2012-11-20,496.66
2012-11-21,492.19
2012-11-22,497.03
2012-11-23,498.82
2012-11-26,496.24
2012-11-27,493.63
2012-11-28,494.48
2012-11-29,496.73
2012-11-30,499.37
2012-12-03,498.97
2012-12-04,502.71
2012-12-05,496.5
2012-12-06,488.03
2012-12-07,489.22
2012-12-10,489.59
2012-12-11,481.59
2012-12-12,485.33
2012-12-13,490.15
2012-12-14,491.65
2012-12-17,485.48
2012-12-18,483.19
2012-12-20,479.21
2012-12-21,478.06
2012-12-24,483.76
2012-12-26,482.76
2012-12-27,492.08
2012-12-28,496.32
2013-01-02,501.61
2013-01-03,499.07
2013-01-04,504.84
2013-01-07,508.72
2013-01-08,509.01
2013-01-09,511.94
2013-01-10,514.48
2013-01-11,515.42
2013-01-14,513.44
2013-01-15,508.02
2013-01-16,507.68
2013-01-17,506.35
2013-01-18,512.24
2013-01-21,514.66
2013-01-22,516.59
2013-01-23,513.26
2013-01-24,508.63
2013-01-25,506.83
2013-01-28,504.2
2013-01-29,505.35
2013-01-30,502.8
2013-01-31,503.67
2013-02-01,503.31
2013-02-04,501.32
2013-02-05,498.16
2013-02-06,502.56
2013-02-07,501.78
2013-02-08,504.94
2013-02-12,503.72
2013-02-13,507.99
2013-02-14,512.53
2013-02-15,514.58
2013-02-18,518.52
2013-02-19,522.49
2013-02-20,525.69
2013-02-21,524.44
2013-02-22,528.36
2013-02-25,527.27
2013-02-26,528.56
2013-02-27,533.36
2013-02-28,535.87
2013-03-04,537.38
2013-03-05,543.96
2013-03-06,544.36
2013-03-07,541.3
2013-03-08,543.1
2013-03-11,540.44
2013-03-12,543.88
2013-03-13,549.73
2013-03-14,553.58
2013-03-15,554.81
2013-03-18,541.09
2013-03-19,550.01
2013-03-20,546.26
2013-03-21,544.56
2013-03-22,551.25
2013-03-25,549.56
2013-03-26,549.9
2013-03-27,548.72
2013-03-28,552.64
2013-03-29,555.02
2013-04-01,553.97
2013-04-02,552.83
2013-04-03,557.96
2013-04-04,555.23
2013-04-05,547.51
2013-04-08,528.78
2013-04-09,528.15
2013-04-10,534.84
2013-04-11,544.3
2013-04-12,547.19
2013-04-15,553.99
2013-04-16,558.95
2013-04-17,558.54
2013-04-18,551.1
2013-04-19,541.46
2013-04-22,547.1
2013-04-23,554.37
2013-04-24,563.81
2013-04-25,559.4
2013-04-26,565.35
2013-04-29,568.36
2013-04-30,563.87
2013-05-02,560.48
2013-05-03,565.33
2013-05-06,567.13
2013-05-07,573.68
2013-05-08,576.7
2013-05-09,573.35
2013-05-10,569.7
2013-05-13,565.72
2013-05-14,560.47
2013-05-15,565.65
2013-05-16,566.06
2013-05-20,567.32
2013-05-21,572.69
2013-05-22,574.25
2013-05-23,569.34
2013-05-24,574.06
2013-05-27,577.56
2013-05-28,585.76
2013-05-29,585.69
2013-05-30,581.13
2013-05-31,577.87
2013-06-03,569.41
2013-06-04,561.55
2013-06-05,549.09
2013-06-07,535.75
2013-06-10,547
2013-06-11,547.87
2013-06-12,546.2
2013-06-13,540.82
2013-06-14,536.04
2013-06-17,524.5
2013-06-18,534.26
2013-06-19,531.41
2013-06-20,525.59
2013-06-21,520.89
2013-06-24,508.65
2013-06-25,480.96
2013-06-26,493.07
2013-06-27,512.25
2013-06-28,519.06
2013-07-01,527.81
2013-07-02,526.92
2013-07-03,521.31
2013-07-04,525.22
2013-07-05,525.4
2013-07-08,515.85
2013-07-09,519.34
2013-07-10,515.64
2013-07-11,527.25
2013-07-12,532.47
2013-07-15,531.67
2013-07-16,537.72
2013-07-17,541.82
2013-07-18,541.56
2013-07-19,541.87
2013-07-22,541.14
2013-07-23,541.64
2013-07-24,543.6
2013-07-25,541.94
2013-07-26,545.31
2013-07-29,540.98
2013-07-30,546.43
2013-07-31,554.31
2013-08-01,549.52
2013-08-02,551.76
2013-08-05,556.6
2013-08-06,557.36
2013-08-07,554.73
2013-08-08,555.3
2013-08-09,554.93
2013-08-12,550.25
2013-08-13,550.85
2013-08-14,550.87
2013-08-16,548.79
2013-08-19,550.49
2013-08-20,537.57
2013-08-21,530.54
2013-08-22,517.64
2013-08-23,529.19
2013-08-26,533.73
2013-08-27,524.39
2013-08-28,517.44
2013-08-29,520.37
2013-08-30,516.74
2013-09-02,525.18
2013-09-03,525.89
2013-09-04,526.16
2013-09-05,528.06
2013-09-06,523.77
2013-09-09,521.11
2013-09-10,523.15
2013-09-11,529.34
2013-09-12,529.58
2013-09-13,530.89
2013-09-16,526.2
2013-09-17,527.11
2013-09-23,527.07
2013-09-24,527.29
2013-09-25,527.27
2013-09-26,532.83
2013-09-27,537.5
2013-09-30,534.89
2013-10-01,530.35
2013-10-02,532.02
2013-10-04,532.01
2013-10-07,528.44
2013-10-08,528.83
2013-10-10,529.04
2013-10-11,532.6
2013-10-14,531.66
2013-10-15,533.12
2013-10-16,525.68
2013-10-17,521.52
2013-10-18,525.69
2013-10-21,529.34
2013-10-22,531.89
2013-10-23,525.38
2013-10-24,531.03
2013-10-25,534.02
2013-10-28,534.98
2013-10-29,533.91
2013-10-30,537.68
2013-10-31,532.44
2013-11-01,534.74
2013-11-04,533.64
2013-11-05,528.73
2013-11-06,525.99
2013-11-07,520.65
2013-11-08,515.74
2013-11-11,502.94
2013-11-12,510.73
2013-11-13,505.6
2013-11-14,511.75
2013-11-15,512.74
2013-11-18,509.54
2013-11-19,505.5
2013-11-20,504.16
2013-11-21,501.05
2013-11-22,504.06
2013-11-25,507.76
2013-11-26,510.54
2013-11-27,511.65
2013-11-28,515.52
2013-11-29,517.06
2013-12-02,512.69
2013-12-03,508.16
